user,item
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,69
1,17
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,46
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,0
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
1,125
1,126
1,127
1,128
1,129
1,130
1,131
1,132
1,133
1,134
1,135
1,136
1,137
1,138
1,139
1,140
1,141
1,142
1,143
1,144
1,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
1,155
1,156
1,157
1,158
1,159
1,160
1,40
1,161
1,162
1,163
1,164
1,45
1,165
1,166
1,167
1,168
1,169
1,50
1,170
1,171
2,172
2,173
2,56
2,174
2,175
2,176
2,177
2,178
2,179
2,180
2,181
2,182
2,183
2,81
2,184
2,185
2,186
2,187
2,42
2,101
2,48
2,188
2,189
2,190
2,113
2,191
2,192
2,121
2,120
2,4
2,5
2,124
2,193
2,125
2,194
2,195
2,20
2,196
2,197
2,198
2,39
2,199
2,163
2,200
2,201
2,165
2,202
2,203
3,62
3,204
3,205
3,206
3,42
3,46
3,121
3,124
3,136
3,24
3,154
3,207
3,208
3,209
3,210
3,211
3,41
3,212
4,213
4,214
4,215
4,216
4,217
4,218
4,219
4,220
4,57
4,221
4,222
4,223
4,224
4,225
4,60
4,226
4,227
4,228
4,229
4,66
4,230
4,231
4,232
4,233
4,234
4,75
4,235
4,236
4,181
4,237
4,238
4,239
4,240
4,241
4,242
4,243
4,244
4,245
4,246
4,37
4,247
4,248
4,249
4,250
4,251
4,252
4,103
4,253
4,254
4,255
4,256
4,257
4,192
4,258
4,259
4,117
4,260
4,261
4,119
4,262
4,263
4,4
4,264
4,265
4,266
4,267
4,125
4,126
4,268
4,269
4,128
4,129
4,270
4,271
4,272
4,273
4,274
4,275
4,276
4,277
4,278
4,279
4,280
4,281
4,282
4,283
4,284
4,285
4,286
4,287
4,288
4,289
4,290
4,291
4,292
4,164
4,293
4,294
4,49
4,295
4,296
4,297
4,298
4,299
4,300
4,301
4,302
4,303
4,304
4,305
4,306
4,307
4,308
4,65
4,309
4,310
4,311
4,17
4,312
4,313
4,25
4,314
4,315
4,316
4,186
4,317
4,318
4,319
4,320
4,321
4,322
4,46
4,323
4,106
4,324
4,325
4,326
4,327
4,328
4,329
4,330
4,331
4,332
4,333
4,3
4,334
4,335
4,336
4,337
4,338
4,339
4,340
4,341
4,342
4,9
4,343
4,344
4,345
4,346
4,347
4,348
4,349
4,350
4,351
4,352
4,353
4,354
4,355
4,356
4,357
4,358
4,359
4,360
4,153
4,361
4,154
4,362
4,363
4,364
4,365
4,366
4,36
4,41
4,367
4,368
4,369
4,370
4,371
4,372
4,373
4,374
4,375
4,376
4,377
4,378
5,379
5,380
5,381
5,382
5,383
5,14
5,66
5,384
5,385
5,386
5,80
5,239
5,23
5,387
5,85
5,388
5,31
5,38
5,389
5,101
5,120
5,10
5,390
5,391
5,392
5,393
5,30
5,394
5,163
5,203
5,395
5,396
5,397
5,398
5,175
5,399
5,62
5,400
5,401
5,402
5,403
5,404
5,405
5,406
5,407
5,408
5,409
5,410
5,411
5,109
5,412
5,413
5,414
5,2
5,3
5,415
5,343
5,416
5,131
5,417
5,418
5,144
5,419
5,151
5,420
5,421
5,43
5,375
6,422
6,60
6,66
6,75
6,94
6,250
6,104
6,192
6,259
6,117
6,121
6,129
6,146
6,423
6,20
6,424
6,400
6,71
6,425
6,314
6,87
6,186
6,89
6,426
6,46
6,110
6,148
6,154
7,216
7,427
7,217
7,428
7,57
7,221
7,429
7,430
7,60
7,230
7,431
7,432
7,433
7,434
7,435
7,239
